row_index,text,level,error
1,"The first Reformed Churches were established in Europe in the 1500s , in the wake of the Protestant Reformation .",2,[object Object]
139,"On January 17 , 1995 , a magnitude 6.9 earthquake occurred at 5 : 46 am JST near the city .",2,[object Object]
140,"Members of the order Sparassodonta showed many similarities with placental carnivora , but they were not closely related .",3,Server returned unexpected status code - 502
4304,Massive hydrographical studies are usually undertaken by national or international organizations that sponsor data collection through surveys and publication of charts and descriptive materials for navigational purposes .,3,Unsupported video format or file
5060,Renewable energy projects in many developing countries have demonstrated that renewable energy can directly contribute to poverty alleviation by providing the energy needed for creating businesses and employment .,3,Unsupported video format or file
5597,Temporary abdominal closure techniques are most commonly used in cases of abdominal compartment syndrome in which decompressive laparotomy is necessary to reduce intra abdominal pressure to restore system perfusion .,3,Unsupported video format or file
6129,"Monsters will talk to the player during the battle , and the game will tell the players what the monster 's feelings and actions are .",2,[object Object]
6192,"The temple is famous for the approximately 25,000 black rats that live , and are revered in , the temple .",2,[object Object]
6388,"On May 22 , 1933 , Chinese and Japanese representatives met to talk the end of the fight .",2,[object Object]
6727,Bidatsu suffered from an unknown disease which afflicted him with sores .,2,[object Object]
6728,"Six subclasses are generally recognized , although many works have included the ostracods among the Maxillopoda .",3,[object Object]
6742,New evidence based on accurate optically stimulated luminescence and uranium - thorium dating of megafaunal remains suggests that humans were the ultimate cause of the extinction of megafauna in Australia .,3,Unsupported video format or file
7211,Decapitation can also describe the removal of a head from a body that is already dead .,2,[object Object]
